"Gene_symbol"	"score_df_2"	"n_cor"	"is_deg"	"Ssec_norm"	"X"
"lhb"	1.12943798	0	FALSE	1.1074636987806	NA
"tfpia"	1.127138189	0	FALSE	1.10520865238374	NA
"b2m_ChrAur1"	1.126942038	0	FALSE	1.10501631768646	NA
"cxcl12a"	1.125099047	0	FALSE	1.10320918381472	NA
"ccn4a"	1.122225066	0	FALSE	1.1003911188259	NA
"cpe"	1.122045975	0	FALSE	1.10021551221023	NA
"bmp3"	1.121429605	0	FALSE	1.09961113426996	NA
"wnt6b"	1.120866665	0	FALSE	1.09905914679864	NA
"nucb1"	1.120220028	0	FALSE	1.0984250907314	NA
"adamtsl4"	1.114386736	0	FALSE	1.09270529092939	NA
"lgi2a"	1.114175723	0	FALSE	1.09249838338634	NA
"ppfibp2b"	1.112502981	0	FALSE	1.09085818615973	NA
"igfbp1a"	1.111326815	0	FALSE	1.08970490357865	NA
"hamp_ChrAur13"	1.111207299	1	FALSE	1.08958771287516	NA
"col10a1b"	1.110578415	0	FALSE	1.08897106440656	NA
"col12a1a"	1.110256423	0	FALSE	1.08865533706464	NA
"col4a2"	1.10867638	0	FALSE	1.08710603529154	NA
"adamts6"	1.104749612	0	FALSE	1.08325566626682	NA
"fshb"	1.104195929	0	FALSE	1.08271275569184	NA
"agrp"	1.103213153	0	FALSE	1.0817491005259	NA
"col5a3b"	1.101124581	0	FALSE	1.07970116366416	NA
"ambp"	1.100555271	0	TRUE	1.0791429301272	NA
