,module_colors
arhgap10,turquoise
arhgap11a,turquoise
arhgap12b_ChrAur1,turquoise
arhgap12b_ChrAur2,grey
arhgap15,blue
arhgap17a,turquoise
arhgap17b,blue
arhgap18,turquoise
arhgap19,turquoise
arhgap20_ChrAur1,turquoise
arhgap20_ChrAur2,turquoise
arhgap21a,blue
arhgap21b,turquoise
arhgap22a,blue
arhgap22b,brown
arhgap23a,blue
arhgap24,turquoise
arhgap25,blue
arhgap27,blue
arhgap28,grey
arhgap29a,turquoise
arhgap31,blue
arhgap32a,grey
arhgap32b,blue
arhgap35a,turquoise
arhgap35b,turquoise
arhgap36,brown
arhgap42a,blue
arhgap44a,turquoise
arhgap45b,brown
arhgap46a,grey
arhgap4a,blue
arhgap4b,turquoise
arhgap5,blue
arhgap6_ChrAur1,turquoise
arhgap6_ChrAur2,blue
arhgap9,blue
arhgdia_ChrAur1,turquoise
arhgdia_ChrAur2,brown
arhgef1,blue
arhgef10lb,grey
arhgef11,turquoise
arhgef12a,turquoise
arhgef16,grey
arhgef17_ChrAur1,turquoise
arhgef17_ChrAur2,turquoise
arhgef18a,grey
arhgef18b,blue
arhgef19,blue
arhgef25a_ChrAur1,grey
arhgef25a_ChrAur2,blue
arhgef28a,turquoise
arhgef3,turquoise
arhgef37,yellow
arhgef38,grey
arhgef39,grey
arhgef3l,blue
arhgef40,blue
arhgef5,red
arhgef6,blue
arhgef7a_ChrAur1,turquoise
arhgef7a_ChrAur2,turquoise
arhgef7a_ChrAur3,turquoise
arhgef9a_ChrAur1,turquoise
arhgef9a_ChrAur2,turquoise
arid1ab,grey
arid1b_ChrAur1,turquoise
arid1b_ChrAur2,turquoise
arid2,turquoise
arid3a,brown
arid3b,turquoise
arid4a,turquoise
arid4b,blue
arid5a,blue
arid5b,grey
arih1,turquoise
arih2,turquoise
ark2cb,turquoise
ark2n,turquoise
arl1,turquoise
arl11,turquoise
arl13b,turquoise
arl14ep,turquoise
arl15a,grey
arl16,brown
arl2,grey
arl2bp,turquoise
arl3a,grey
arl3b,grey
arl4aa,turquoise
arl4ab,blue
arl4cb,grey
arl4d_ChrAur2,turquoise
arl5a,blue
arl5c,turquoise
arl6,grey
arl6ip1,turquoise
arl6ip4,turquoise
arl6ip5a,turquoise
arl6ip5b,turquoise
arl6ip6,blue
arl8,turquoise
arl8a,turquoise
arl8ba_ChrAur1,turquoise
arl8ba_ChrAur2,blue
arl9,grey
armc1_ChrAur1,grey
armc1_ChrAur2,turquoise
armc10,turquoise
armc1l,turquoise
armc2,turquoise
armc3,brown
armc5,blue
armc6,turquoise
armc7,turquoise
armc8,turquoise
armc9,turquoise
armh1,grey
armh3,grey
armt1,turquoise
armt1_fusion_2,blue
arnt,blue
arnt2,blue
arpc1a,turquoise
arpc1b,blue
arpc2,blue
arpc3,black
arpc4,brown
arpc5a,yellow
arpc5b,blue
arpin,turquoise
arpp19b_ChrAur1,turquoise
arpp19b_ChrAur2,turquoise
arpp21,turquoise
arrb2a_ChrAur1,blue
arrb2a_ChrAur2,blue
arrdc1a,turquoise
arrdc1b,blue
arrdc2,blue
arrdc3a,blue
arsa_ChrAur1,turquoise
arsa_ChrAur2,turquoise
arsb,turquoise
arsg,turquoise
arsh,turquoise
arsia,blue
arsib,turquoise
arsj,turquoise
arsk,turquoise
art4_ChrAur1,turquoise
artn,blue
arv1,turquoise
arvcfb,blue
arxa,turquoise
as3mt,turquoise
asah1b,turquoise
asap1b,blue
asap2a,turquoise
asap2b,blue
asb1,turquoise
asb10,turquoise
asb11,blue
asb12a,turquoise
asb13a.1,brown
asb13a.2,turquoise
asb13b,turquoise
asb16,turquoise
asb3,turquoise
asb6,grey
asb7,blue
asb8,blue
ascc1,blue
ascc2,turquoise
ascc3,blue
asf1bb_ChrAur1,brown
asf1bb_ChrAur2,turquoise
asgr1a_ChrAur2,blue
ash1l,blue
ash2l,turquoise
asic1a,turquoise
asic1b,turquoise
asic1c,turquoise
asl,brown
asmt2,turquoise
asmtl,turquoise
asns,turquoise
asnsd1,turquoise
aspa,turquoise
aspg,grey
