"","JM","JM_p","JF","JF_p"
"acad9_ChrAur2",-0.590616087858828,0.00481759722771632,0.590616087858828,0.00481759722771632
"acadl",0.208971759961186,0.363305414494191,-0.208971759961186,0.363305414494191
"acadm",-0.904822788293534,1.78030293462445e-08,0.904822788293534,1.78030293462445e-08
"acads",-0.93670039763394,4.19571233675172e-10,0.93670039763394,4.19571233675172e-10
"acadsb",-0.689012180189167,0.00055152201346915,0.689012180189167,0.00055152201346915
"acadvl",0.859574060765442,5.96616264148038e-07,-0.859574060765442,5.96616264148038e-07
"acana",0.196364071918527,0.393602058272667,-0.196364071918527,0.393602058272667
"acap1",0.789403096806525,2.0955236328901e-05,-0.789403096806525,2.0955236328901e-05
"acap2a",0.542558552532556,0.01104735837998,-0.542558552532556,0.01104735837998
"acap2b",0.255790519045606,0.263076508701033,-0.255790519045606,0.263076508701033
"acap3b_ChrAur1",0.838738984709873,2.03864074469849e-06,-0.838738984709873,2.03864074469849e-06
"acap3b_ChrAur2",0.473345940398734,0.0302086209082252,-0.473345940398734,0.0302086209082252
"acat1",-0.862577863360634,4.91823786546727e-07,0.862577863360634,4.91823786546727e-07
"acat2",-0.568568978022412,0.00715788529837642,0.568568978022412,0.00715788529837642
"acbd3",-0.493797368928345,0.0229033352934416,0.493797368928345,0.0229033352934416
"acbd4",-0.877077980616221,1.80868110790433e-07,0.877077980616221,1.80868110790433e-07
"acbd5a",0.693479168565729,0.000490253498044046,-0.693479168565729,0.000490253498044046
"acbd5b",-0.0865665139652316,0.709067907439293,0.0865665139652316,0.709067907439293
"acbd6",0.840899780795716,1.80946812095978e-06,-0.840899780795716,1.80946812095978e-06
"acbd7",0.217420450284775,0.34377701140018,-0.217420450284775,0.34377701140018
"accs",-0.853123752057343,8.902777695109e-07,0.853123752057343,8.902777695109e-07
"acd",-0.671092951355005,0.000867400704995461,0.671092951355005,0.000867400704995461
"ace",0.488518983659204,0.0246373553738998,-0.488518983659204,0.0246373553738998
"ace2",0.49497709978108,0.0225294139670273,-0.49497709978108,0.0225294139670273
"acer2",0.790894193962145,1.97108305966099e-05,-0.790894193962145,1.97108305966099e-05
"acer3",0.75696171378047,7.1218554860494e-05,-0.75696171378047,7.1218554860494e-05
"ache",0.639863629110596,0.00178519845661758,-0.639863629110596,0.00178519845661758
"acin1a",-0.454818274320407,0.0383086473335768,0.454818274320407,0.0383086473335768
"acin1b_ChrAur1",0.667148931584319,0.00095449227210119,-0.667148931584319,0.00095449227210119
"acin1b_ChrAur2",0.888380562951665,7.57282064380034e-08,-0.888380562951665,7.57282064380034e-08
"ackr3a",0.827788371474606,3.63705845389949e-06,-0.827788371474606,3.63705845389949e-06
"ackr3b",0.201237371454174,0.381728813569441,-0.201237371454174,0.381728813569441
"ackr4a",0.682027336674307,0.000660387742516448,-0.682027336674307,0.000660387742516448
"ackr4b",0.658594854128691,0.00116916007994967,-0.658594854128691,0.00116916007994967
"aclya",-0.775340729779631,3.64887871332323e-05,0.775340729779631,3.64887871332323e-05
"aclyb",-0.616009557737878,0.00294626388862938,0.616009557737878,0.00294626388862938
"aco1",-0.495772591375243,0.0222800389753575,0.495772591375243,0.0222800389753575
"aco2_ChrAur1",0.875661413673112,2.00512570686586e-07,-0.875661413673112,2.00512570686586e-07
"aco2_ChrAur2",-0.749186260330565,9.29081705210439e-05,0.749186260330565,9.29081705210439e-05
"acot11b",-0.812164993066349,7.77725025040607e-06,0.812164993066349,7.77725025040607e-06
"acot13",-0.609835371470283,0.00333292717510695,0.609835371470283,0.00333292717510695
"acot17",0.766613184787532,5.0500488503967e-05,-0.766613184787532,5.0500488503967e-05
"acot19_ChrAur1",0.810646953408218,8.34227544650403e-06,-0.810646953408218,8.34227544650403e-06
"acot19_ChrAur3",-0.4945598292209,0.0226611092793612,0.4945598292209,0.0226611092793612
"acot20_ChrAur1",-0.87828876269971,1.65444547631245e-07,0.87828876269971,1.65444547631245e-07
"acot20_ChrAur2",-0.872856608696213,2.4503736522433e-07,0.872856608696213,2.4503736522433e-07
"acot7",0.543191383893939,0.0109356713440959,-0.543191383893939,0.0109356713440959
"acot8",-0.676980342223604,0.00074999500548613,0.676980342223604,0.00074999500548613
"acot9.1",-0.00904696264372559,0.9689538907896,0.00904696264372559,0.9689538907896
"acox1",0.854541904957186,8.16616109947678e-07,-0.854541904957186,8.16616109947678e-07
"acox3",0.782317585852867,2.7850366578912e-05,-0.782317585852867,2.7850366578912e-05
"acp1",0.268132190868826,0.239926656553269,-0.268132190868826,0.239926656553269
"acp2",0.766107714843827,5.143831542665e-05,-0.766107714843827,5.143831542665e-05
"acp5a",-0.823038972383345,4.6178524948792e-06,0.823038972383345,4.6178524948792e-06
"acp6",-0.606957056353163,0.00352715632301377,0.606957056353163,0.00352715632301377
"acp7",-0.237127284919974,0.300682780308537,0.237127284919974,0.300682780308537
"acsbg1",-0.772108509581205,4.12227722404761e-05,0.772108509581205,4.12227722404761e-05
"acsbg2",-0.81014014612667,8.53873636581274e-06,0.81014014612667,8.53873636581274e-06
"acsf2",0.804760222618072,1.08870407204348e-05,-0.804760222618072,1.08870407204348e-05
"acsf3",-0.186284621199792,0.418800012415188,0.186284621199792,0.418800012415188
"acsl1a_ChrAur1",-0.685711703530284,0.000600883307221029,0.685711703530284,0.000600883307221029
"acsl1a_ChrAur2",-0.688061129490816,0.000565377238813368,0.688061129490816,0.000565377238813368
"acsl2",-0.820146778998406,5.32240116099675e-06,0.820146778998406,5.32240116099675e-06
"acsl3b_ChrAur1",0.865111670996608,4.16403395956439e-07,-0.865111670996608,4.16403395956439e-07
"acsl3b_ChrAur2",-0.754537698182718,7.74523271222146e-05,0.754537698182718,7.74523271222146e-05
