,MEblack,MEblack_p,MEblue,MEblue_p,MEgreen,MEgreen_p,MEturquoise,MEturquoise_p,MEred,MEred_p,MEbrown,MEbrown_p,MEyellow,MEyellow_p,MEgrey,MEgrey_p,module_colors
sp3b,0.226772519,0.322895019,0.398662223,0.073438874,-0.766053903,5.15E-05,-0.469666277,0.031698833,-0.162583524,0.481347899,-0.187312948,0.416190109,-0.260664142,0.2537716,-0.396771927,0.074940307,turquoise
recql5,-0.07097313,0.75982553,0.401191186,0.071465618,-0.581143466,0.005730101,-0.471765666,0.03084169,-0.155616888,0.500577634,0.057934622,0.803018812,0.180877762,0.432667241,-0.326337789,0.148803182,turquoise
g11433,-0.069150736,0.765824567,0.309407475,0.172305902,-0.532368647,0.012977483,-0.471833337,0.030814368,-0.221670707,0.334190596,0.112144864,0.628403332,0.206607371,0.368882329,-0.327710643,0.147001428,turquoise
nipal4,-0.737585697,0.000135806,-0.624960918,0.002452798,0.573453841,0.006571965,0.645684219,0.001569836,-0.059806009,0.796782158,0.142709152,0.537167315,0.586062499,0.005239905,0.324966443,0.150618354,blue
gnb1l,-0.025681386,0.912014229,0.391732279,0.079055631,-0.002286724,0.992151034,-0.472944309,0.030368537,0.284784444,0.210846482,0.58059883,0.005786632,0.33566433,0.136863749,0.2016136,0.380820657,turquoise
nipsnap1,-0.545203202,0.010586707,-0.393339858,0.077724998,0.827424856,3.71E-06,0.466660248,0.03295865,0.113416867,0.624487382,0.427345966,0.053325108,0.609201375,0.003374924,0.477888098,0.028445898,green
ano3,-0.32477085,0.150878507,0.365703696,0.103039482,-0.150254502,0.515629481,-0.472968944,0.030358709,0.193635879,0.400337583,0.610407378,0.003295412,0.606744198,0.003541887,0.196755989,0.392639678,turquoise
inpp4aa,-0.211792067,0.356716913,0.341975779,0.129179469,-0.271777357,0.233350133,-0.474745986,0.029656353,0.163421503,0.479060042,0.497118988,0.021862985,0.445135647,0.043167197,0.130507564,0.572849128,turquoise
itfg1,0.013373364,0.954119758,0.439854444,0.046011346,-0.521606693,0.015304231,-0.475018133,0.029549932,0.27893389,0.220782902,0.196698537,0.392780672,0.091844939,0.692139792,0.077463018,0.738571556,turquoise
LOC119033652,0.110625904,0.633092171,0.481395213,0.027141307,-0.121328664,0.600351911,-0.475688356,0.02928913,0.021870093,0.92503347,0.309235678,0.172556719,0.190714199,0.407620806,-0.126635353,0.584384399,turquoise
